,loss
354,1.2090852
355,1.1865978
356,1.2040762
357,1.1932325
358,1.1906178
359,1.2245762
360,1.2254772
361,1.2022837
362,1.2188414
363,1.2070465
364,1.2176298
365,1.1966343
366,1.2099043
367,1.1839443
368,1.210272
369,1.2006336
370,1.205308
371,1.1938902
372,1.214463
373,1.2060685
374,1.2132603
375,1.2125709
376,1.2217147
377,1.2140583
378,1.2125853
379,1.2058756
380,1.2072359
381,1.2155913
382,1.212273
383,1.2264372
384,1.2249736
385,1.2275769
386,1.2223557
387,1.2320234
388,1.2214952
389,1.2189485
390,1.2207059
391,1.2123971
392,1.2193605
393,1.2291374
394,1.2180364
395,1.2047305
396,1.225048
397,1.2282681
398,1.2104783
399,1.2299967
400,1.2089905
401,1.2266889
402,1.2107192
403,1.2327311
404,1.21823
405,1.2151362
406,1.2102965
407,1.2304652
408,1.2186518
409,1.2262113
410,1.2270243
411,1.2118052
412,1.2206584
413,1.2199453
414,1.2343282
415,1.2221794
416,1.223755
417,1.2099135
418,1.239938
419,1.2527226
420,1.2067297
421,1.2423381
422,1.2349573
423,1.2264261
424,1.219862
425,1.2300912
426,1.2251066
427,1.2391609
428,1.2278564
429,1.2620745
430,1.2453814
431,1.2319769
432,1.2237371
433,1.209378
434,1.2105818
435,1.2267472
436,1.2158396
437,1.2206156
438,1.2237803
439,1.2247535
440,1.2433826
441,1.221156
442,1.221536
443,1.227565
444,1.2159995
445,1.229025
446,1.2137467
447,1.2237195
448,1.2551897
449,1.2298131
450,1.2406611
451,1.2496053
452,1.2303807
453,1.2414125
454,1.228367
455,1.2495873
456,1.2335026
457,1.2415166
458,1.243922
459,1.2260054
460,1.2276928
461,1.2150416
462,1.2227082
463,1.2390144
464,1.2295759
465,1.2308353
466,1.2426704
467,1.2220466
468,1.234104
469,1.2407173
470,1.2263244
471,1.2446809
472,1.2397423
473,1.2359456
474,1.2363318
475,1.2326057
476,1.229786
477,1.2336637
478,1.2460707
479,1.245199
480,1.235178
481,1.2392632
482,1.2416484
483,1.2397008
484,1.2435688
485,1.2441673
486,1.2416656
487,1.2398027
488,1.2379445
489,1.2425423
490,1.2358646
491,1.235857
492,1.2350297
493,1.2312566
494,1.2491628
495,1.2418593
496,1.2445071
497,1.2554299
498,1.2506865
499,1.2460152
